symbol,name,sector,subSector
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage & Peripherals
MSFT,Microsoft Corporation,Information Technology,Systems Software
NVDA,NVIDIA Corporation,Information Technology,Semiconductors
AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail
META,Meta Platforms Inc.,Communication Services,Interactive Media & Services
GOOGL,Alphabet Inc. Class A,Communication Services,Interactive Media & Services
GOOG,Alphabet Inc. Class C,Communication Services,Interactive Media & Services
AVGO,Broadcom Inc.,Information Technology,Semiconductors
TSLA,Tesla Inc.,Consumer Discretionary,Automobile Manufacturers
BRK-B,Berkshire Hathaway Inc. Class B,Financials,Multi-Sector Holdings
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals
V,Visa Inc.,Financials,Transaction & Payment Processing Services
MA,Mastercard Incorporated,Financials,Transaction & Payment Processing Services
XOM,Exxon Mobil Corporation,Energy,Integrated Oil & Gas
COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Merchandise Retail
UNH,UnitedHealth Group Incorporated,Health Care,Managed Health Care
WMT,Walmart Inc.,Consumer Staples,Consumer Staples Merchandise Retail
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment
ORCL,Oracle Corporation,Information Technology,Application Software
HD,Home Depot Inc.,Consumer Discretionary,Home Improvement Retail
PG,Procter & Gamble Company,Consumer Staples,Household Products
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
BAC,Bank of America Corporation,Financials,Diversified Banks
ABBV,AbbVie Inc.,Health Care,Biotechnology
KO,Coca-Cola Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PM,Philip Morris International Inc.,Consumer Staples,Tobacco
CRM,Salesforce Inc.,Information Technology,Application Software
PLTR,Palantir Technologies Inc.,Information Technology,Application Software
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment
ABT,Abbott Laboratories,Health Care,Health Care Equipment
MCD,McDonald's Corporation,Consumer Discretionary,Restaurants
IBM,International Business Machines Corporation,Information Technology,IT Consulting & Other Services
WFC,Wells Fargo & Company,Financials,Diversified Banks
GE,GE Aerospace,Industrials,Aerospace & Defense
LIN,Linde plc,Materials,Industrial Gases
MRK,Merck & Co. Inc.,Health Care,Pharmaceuticals
NOW,ServiceNow Inc.,Information Technology,Systems Software
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment
AXP,American Express Company,Financials,Consumer Finance
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
DIS,Walt Disney Company,Communication Services,Movies & Entertainment
UBER,Uber Technologies Inc.,Industrials,Passenger Ground Transportation
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors
GS,Goldman Sachs Group Inc.,Financials,Investment Banking & Brokerage
VZ,Verizon Communications Inc.,Communication Services,Integrated Telecommunication Services
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors
RTX,RTX Corporation,Industrials,Aerospace & Defense
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks
QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
BKNG,Booking Holdings Inc.,Consumer Discretionary,Hotels Resorts & Cruise Lines
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data
AMGN,Amgen Inc.,Health Care,Biotechnology
